# File created by cgDoc/nif/afm/afm3d.m (matlab script)
# This file is included in afm3d.cmd which is used by the ogen script interfaceBump3d.cmd
# You should define the variable $degree to be the degree of the NURBS
# xScale=1.000000e+05 yScale=1.000000e+05 zScale=1.000000e+05
$xa=2.191780e+00; $xb=2.808220e+00; $ya=2.191780e+00; $yb=2.808220e+00; # horizonatal bounds
$zMin=-4.515180e-02; $zMax=2.100380e-02; # vertical bounds
64 64 $degree
2.563600e+00 2.230920e+00 -5.603744e-03
2.573390e+00 2.230920e+00 -5.472978e-03
2.583170e+00 2.230920e+00 -5.347026e-03
2.592950e+00 2.230920e+00 -5.268632e-03
2.602740e+00 2.230920e+00 -5.278056e-03
2.612520e+00 2.230920e+00 -5.402401e-03
2.622310e+00 2.230920e+00 -5.655322e-03
2.632090e+00 2.230920e+00 -6.042754e-03
2.641880e+00 2.230920e+00 -6.568054e-03
2.651660e+00 2.230920e+00 -7.233983e-03
2.661450e+00 2.230920e+00 -8.042286e-03
2.671230e+00 2.230920e+00 -8.992211e-03
2.681020e+00 2.230920e+00 -1.007870e-02
2.690800e+00 2.230920e+00 -1.129057e-02
2.700590e+00 2.230920e+00 -1.260887e-02
2.710370e+00 2.230920e+00 -1.400563e-02
2.720160e+00 2.230920e+00 -1.544328e-02
2.729940e+00 2.230920e+00 -1.687516e-02
2.739730e+00 2.230920e+00 -1.824724e-02
2.749510e+00 2.230920e+00 -1.950117e-02
2.759300e+00 2.230920e+00 -2.057858e-02
2.769080e+00 2.230920e+00 -2.142602e-02
2.778860e+00 2.230920e+00 -2.200044e-02
2.788650e+00 2.230920e+00 -2.227673e-02
2.798430e+00 2.230920e+00 -2.227673e-02
2.808220e+00 2.230920e+00 -2.227673e-02
2.191780e+00 2.240700e+00 -3.503746e-03
2.201570e+00 2.240700e+00 -3.503746e-03
2.211350e+00 2.240700e+00 -3.503746e-03
2.221140e+00 2.240700e+00 -3.591718e-03
2.230920e+00 2.240700e+00 -3.759456e-03
2.240700e+00 2.240700e+00 -3.995125e-03
2.250490e+00 2.240700e+00 -4.283309e-03
2.260270e+00 2.240700e+00 -4.606488e-03
2.270060e+00 2.240700e+00 -4.946713e-03
2.279840e+00 2.240700e+00 -5.287134e-03
2.289630e+00 2.240700e+00 -5.613158e-03
2.299410e+00 2.240700e+00 -5.913140e-03
2.309200e+00 2.240700e+00 -6.178557e-03
2.318980e+00 2.240700e+00 -6.403744e-03
2.328770e+00 2.240700e+00 -6.585318e-03
2.338550e+00 2.240700e+00 -6.721443e-03
2.348340e+00 2.240700e+00 -6.811136e-03
2.358120e+00 2.240700e+00 -6.853783e-03
2.367910e+00 2.240700e+00 -6.849031e-03
2.377690e+00 2.240700e+00 -6.797205e-03
2.387480e+00 2.240700e+00 -6.700364e-03
2.397260e+00 2.240700e+00 -6.563947e-03
2.407050e+00 2.240700e+00 -6.398633e-03
2.416830e+00 2.240700e+00 -6.221558e-03
2.426610e+00 2.240700e+00 -6.055856e-03
2.436400e+00 2.240700e+00 -5.927692e-03
2.446180e+00 2.240700e+00 -5.860613e-03
2.455970e+00 2.240700e+00 -5.868360e-03
2.465750e+00 2.240700e+00 -5.948819e-03
2.475540e+00 2.240700e+00 -6.082560e-03
2.485320e+00 2.240700e+00 -6.237899e-03
2.495110e+00 2.240700e+00 -6.381058e-03
2.504890e+00 2.240700e+00 -6.486626e-03
2.514680e+00 2.240700e+00 -6.542772e-03
2.524460e+00 2.240700e+00 -6.548538e-03
2.534250e+00 2.240700e+00 -6.505854e-03
2.544030e+00 2.240700e+00 -6.413057e-03
2.553820e+00 2.240700e+00 -6.266101e-03
2.563600e+00 2.240700e+00 -6.067702e-03
2.573390e+00 2.240700e+00 -5.837380e-03
2.583170e+00 2.240700e+00 -5.613139e-03
2.592950e+00 2.240700e+00 -5.441716e-03
2.602740e+00 2.240700e+00 -5.364083e-03
2.612520e+00 2.240700e+00 -5.406568e-03
2.622310e+00 2.240700e+00 -5.581650e-03
2.632090e+00 2.240700e+00 -5.894053e-03
2.641880e+00 2.240700e+00 -6.345991e-03
2.651660e+00 2.240700e+00 -6.939245e-03
2.661450e+00 2.240700e+00 -7.674855e-03
2.671230e+00 2.240700e+00 -8.551691e-03
2.681020e+00 2.240700e+00 -9.564672e-03
2.690800e+00 2.240700e+00 -1.070293e-02
2.700590e+00 2.240700e+00 -1.194814e-02
2.710370e+00 2.240700e+00 -1.327325e-02
2.720160e+00 2.240700e+00 -1.464187e-02
2.729940e+00 2.240700e+00 -1.600872e-02
2.739730e+00 2.240700e+00 -1.732130e-02
2.749510e+00 2.240700e+00 -1.852288e-02
2.759300e+00 2.240700e+00 -1.955662e-02
2.769080e+00 2.240700e+00 -2.037048e-02
2.778860e+00 2.240700e+00 -2.092250e-02
2.788650e+00 2.240700e+00 -2.118812e-02
2.798430e+00 2.240700e+00 -2.118812e-02
2.808220e+00 2.240700e+00 -2.118812e-02
2.191780e+00 2.250490e+00 -3.672208e-03
2.201570e+00 2.250490e+00 -3.672208e-03
2.211350e+00 2.250490e+00 -3.672208e-03
2.221140e+00 2.250490e+00 -3.763695e-03
2.230920e+00 2.250490e+00 -3.940449e-03
2.240700e+00 2.250490e+00 -4.189824e-03
2.250490e+00 2.250490e+00 -4.495066e-03
2.260270e+00 2.250490e+00 -4.837239e-03
2.270060e+00 2.250490e+00 -5.197116e-03
2.279840e+00 2.250490e+00 -5.556852e-03
2.289630e+00 2.250490e+00 -5.901245e-03
2.299410e+00 2.250490e+00 -6.218459e-03
2.309200e+00 2.250490e+00 -6.500189e-03
2.318980e+00 2.250490e+00 -6.741317e-03
2.328770e+00 2.250490e+00 -6.939213e-03
2.338550e+00 2.250490e+00 -7.092836e-03
2.348340e+00 2.250490e+00 -7.201838e-03
2.358120e+00 2.250490e+00 -7.265823e-03
2.367910e+00 2.250490e+00 -7.283935e-03
2.377690e+00 2.250490e+00 -7.254944e-03
2.387480e+00 2.250490e+00 -7.178099e-03
2.397260e+00 2.250490e+00 -7.055125e-03
2.407050e+00 2.250490e+00 -6.893432e-03
2.416830e+00 2.250490e+00 -6.709510e-03
2.426610e+00 2.250490e+00 -6.529857e-03
2.436400e+00 2.250490e+00 -6.386905e-03
2.446180e+00 2.250490e+00 -6.310315e-03
2.455970e+00 2.250490e+00 -6.317573e-03
2.465750e+00 2.250490e+00 -6.408603e-03
2.475540e+00 2.250490e+00 -6.566538e-03
2.485320e+00 2.250490e+00 -6.763277e-03
2.495110e+00 2.250490e+00 -6.966594e-03
2.504890e+00 2.250490e+00 -7.145858e-03
2.514680e+00 2.250490e+00 -7.274977e-03
2.524460e+00 2.250490e+00 -7.332865e-03
2.534250e+00 2.250490e+00 -7.303124e-03
2.544030e+00 2.250490e+00 -7.175318e-03
2.553820e+00 2.250490e+00 -6.949334e-03
2.563600e+00 2.250490e+00 -6.641484e-03
2.573390e+00 2.250490e+00 -6.287703e-03
2.583170e+00 2.250490e+00 -5.939016e-03
2.592950e+00 2.250490e+00 -5.649213e-03
2.602740e+00 2.250490e+00 -5.461333e-03
2.612520e+00 2.250490e+00 -5.401068e-03
2.622310e+00 2.250490e+00 -5.479296e-03
2.632090e+00 2.250490e+00 -5.698954e-03
2.641880e+00 2.250490e+00 -6.060598e-03
2.651660e+00 2.250490e+00 -6.564652e-03
2.661450e+00 2.250490e+00 -7.211210e-03
2.671230e+00 2.250490e+00 -7.998664e-03
2.681020e+00 2.250490e+00 -8.921909e-03
2.690800e+00 2.250490e+00 -9.970488e-03
2.700590e+00 2.250490e+00 -1.112687e-02
2.710370e+00 2.250490e+00 -1.236515e-02
2.720160e+00 2.250490e+00 -1.365036e-02
2.729940e+00 2.250490e+00 -1.493891e-02
2.739730e+00 2.250490e+00 -1.618010e-02
2.749510e+00 2.250490e+00 -1.731905e-02
2.759300e+00 2.250490e+00 -1.830073e-02
2.769080e+00 2.250490e+00 -1.907466e-02
2.778860e+00 2.250490e+00 -1.960007e-02
2.788650e+00 2.250490e+00 -1.985303e-02
2.798430e+00 2.250490e+00 -1.985303e-02
2.808220e+00 2.250490e+00 -1.985303e-02
2.191780e+00 2.260270e+00 -3.828533e-03
2.201570e+00 2.260270e+00 -3.828533e-03
2.211350e+00 2.260270e+00 -3.828533e-03
2.221140e+00 2.260270e+00 -3.924094e-03
2.230920e+00 2.260270e+00 -4.110839e-03
2.240700e+00 2.260270e+00 -4.375271e-03
2.250490e+00 2.260270e+00 -4.699259e-03
2.260270e+00 2.260270e+00 -5.062414e-03
2.270060e+00 2.260270e+00 -5.444207e-03
2.279840e+00 2.260270e+00 -5.825794e-03
2.289630e+00 2.260270e+00 -6.191382e-03
2.299410e+00 2.260270e+00 -6.528997e-03
2.309200e+00 2.260270e+00 -6.830621e-03
2.318980e+00 2.260270e+00 -7.091781e-03
2.328770e+00 2.260270e+00 -7.310726e-03
2.338550e+00 2.260270e+00 -7.487369e-03
2.348340e+00 2.260270e+00 -7.622202e-03
2.358120e+00 2.260270e+00 -7.715328e-03
2.367910e+00 2.260270e+00 -7.765793e-03
2.377690e+00 2.260270e+00 -7.771414e-03
2.387480e+00 2.260270e+00 -7.729526e-03
2.397260e+00 2.260270e+00 -7.639299e-03
2.407050e+00 2.260270e+00 -7.505931e-03
2.416830e+00 2.260270e+00 -7.345091e-03
2.426610e+00 2.260270e+00 -7.183585e-03
2.436400e+00 2.260270e+00 -7.053175e-03
2.446180e+00 2.260270e+00 -6.980051e-03
2.455970e+00 2.260270e+00 -6.977091e-03
2.465750e+00 2.260270e+00 -7.043817e-03
2.475540e+00 2.260270e+00 -7.172004e-03
2.485320e+00 2.260270e+00 -7.350271e-03
2.495110e+00 2.260270e+00 -7.563042e-03
2.504890e+00 2.260270e+00 -7.785416e-03
2.514680e+00 2.260270e+00 -7.979916e-03
2.524460e+00 2.260270e+00 -8.100170e-03
2.534250e+00 2.260270e+00 -8.101766e-03
2.544030e+00 2.260270e+00 -7.956007e-03
2.553820e+00 2.260270e+00 -7.660866e-03
2.563600e+00 2.260270e+00 -7.244886e-03
2.573390e+00 2.260270e+00 -6.762224e-03
2.583170e+00 2.260270e+00 -6.279771e-03
2.592950e+00 2.260270e+00 -5.860704e-03
2.602740e+00 2.260270e+00 -5.551418e-03
2.612520e+00 2.260270e+00 -5.377432e-03
2.622310e+00 2.260270e+00 -5.348055e-03
2.632090e+00 2.260270e+00 -5.464332e-03
2.641880e+00 2.260270e+00 -5.725041e-03
2.651660e+00 2.260270e+00 -6.129166e-03
2.661450e+00 2.260270e+00 -6.675818e-03
2.671230e+00 2.260270e+00 -7.362915e-03
2.681020e+00 2.260270e+00 -8.185378e-03
2.690800e+00 2.260270e+00 -9.133244e-03
2.700590e+00 2.260270e+00 -1.018991e-02
2.710370e+00 2.260270e+00 -1.133075e-02
2.720160e+00 2.260270e+00 -1.252246e-02
2.729940e+00 2.260270e+00 -1.372330e-02
2.739730e+00 2.260270e+00 -1.488461e-02
2.749510e+00 2.260270e+00 -1.595358e-02
2.759300e+00 2.260270e+00 -1.687714e-02
2.769080e+00 2.260270e+00 -1.760652e-02
2.778860e+00 2.260270e+00 -1.810229e-02
2.788650e+00 2.260270e+00 -1.834114e-02
2.798430e+00 2.260270e+00 -1.834114e-02
2.808220e+00 2.260270e+00 -1.834114e-02
2.191780e+00 2.270060e+00 -3.950393e-03
2.201570e+00 2.270060e+00 -3.950393e-03
